basin_id,slope,lon,elev,lat,pop,pop_dnsty,length,area,form_factor,shape_factor,compactness_coefficient,circulatory_ratio,elongation_ratio
24010,98.12986755,133.5213084,86.21626841,47.14264616,57759,13.48667059,107.004426,2927.038382,0.255637719,3.911785804,2.121613053,0.222233278,0.570323893
24011,85.53704834,132.1866966,63.07107533,46.93488233,216418,28.3558622,170.6731178,5239.091466,0.179856334,5.559993239,2.546800052,0.154223924,0.478378847
24012,120.2630463,133.1923672,73.35848466,47.02751405,10293,10.08952319,34.96818604,699.8872537,0.572376607,1.747101449,1.724709671,0.336286515,0.853394889
24013,92.5746994,133.3788161,223.2971871,46.78410614,3536,1.984822233,47.25090167,1227.247627,0.549682613,1.819231637,1.804212645,0.307302438,0.836305783
24014,101.0660782,133.0099486,93.25461199,46.70279341,33548,14.78913487,44.98354122,1565.108393,0.773458716,1.292893827,1.627022294,0.377880466,0.992036539
24015,78.25363159,132.4016791,48.82970564,46.84999589,19075,10.26714259,61.13706896,1278.402327,0.342025373,2.923759697,1.845675817,0.293650406,0.659687511
24017,86.16766357,132.6796687,42.68751957,46.69581842,1741,8.560759433,19.55513634,140.3673045,0.367066089,2.724305054,1.672453738,0.357629407,0.683409846
24018,50.52318573,132.4844651,88.36691722,46.32845425,28552,16.71067721,69.18354842,1187.008012,0.247997889,4.032292387,1.821398061,0.301530821,0.561737079
24019,77.8315506,132.8510233,108.3550038,46.39059001,30505,16.49895124,59.08317715,1283.274091,0.367613747,2.720246475,1.741781999,0.329726501,0.683919476
24020,75.87571716,132.5979417,47.61784626,46.72233463,1777,8.428139384,17.52929871,145.3825988,0.473133114,2.113570096,1.788932242,0.312574588,0.775891103
24021,74.97544098,131.8496235,166.018274,46.51084214,179835,34.87584556,113.6120289,3570.20756,0.276595324,3.615390113,2.126024952,0.221311884,0.593241489
24022,74.7612381,131.9649836,220.8833108,46.21123366,94538,15.89306005,146.618232,4147.329008,0.192926788,5.183313383,2.54718074,0.154177829,0.495456313
24023,72.88742065,134.2257146,175.37705,47.01581977,21111,5.185783364,89.00208572,2791.541692,0.35240637,2.837633156,2.43685844,0.168453814,0.669623944
